Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Predicted_Sales
FDW58,20.75,Low Fat,0.00756484,Snack Foods,107.862,OUT049,1999,Medium,Tier 1,Supermarket Type1,1641.18
FDW14,8.3,reg,0.0384277,Dairy,87.3198,OUT017,2007,,Tier 2,Supermarket Type1,1519.88
NCN55,14.6,Low Fat,0.0995749,Others,241.754,OUT010,1998,,Tier 3,Grocery Store,2585.48
FDQ58,7.315,Low Fat,0.0153884,Snack Foods,155.034,OUT017,2007,,Tier 2,Supermarket Type1,1987.41
FDY38,,Regular,0.118599,Dairy,234.23,OUT027,1985,Medium,Tier 3,Supermarket Type3,3881.1
FDH56,9.8,Regular,0.0638172,Fruits and Vegetables,117.149,OUT046,1997,Small,Tier 1,Supermarket Type1,1965.05
FDL48,19.35,Regular,0.0826015,Baking Goods,50.1034,OUT018,2009,Medium,Tier 3,Supermarket Type2,416.98
FDC48,,Low Fat,0.0157825,Baking Goods,81.0592,OUT027,1985,Medium,Tier 3,Supermarket Type3,1469.86
FDN33,6.305,Regular,0.123365,Snack Foods,95.7436,OUT045,2002,,Tier 2,Supermarket Type1,1024.71
FDA36,5.985,Low Fat,0.00569843,Baking Goods,186.892,OUT017,2007,,Tier 2,Supermarket Type1,2116.81
FDT44,16.6,Low Fat,0.103569,Fruits and Vegetables,118.347,OUT017,2007,,Tier 2,Supermarket Type1,1878.86
FDQ56,6.59,Low Fat,0.105811,Fruits and Vegetables,85.3908,OUT045,2002,,Tier 2,Supermarket Type1,1789.49
NCC54,,Low Fat,0.171079,Health and Hygiene,240.42,OUT019,1985,Small,Tier 1,Grocery Store,2816.8
FDU11,4.785,Low Fat,0.0927376,Breads,122.31,OUT049,1999,Medium,Tier 1,Supermarket Type1,1664.1
DRL59,16.75,LF,0.0212065,Hard Drinks,52.0298,OUT013,1987,High,Tier 3,Supermarket Type1,1137.73
FDM24,6.135,Regular,0.0794507,Baking Goods,151.637,OUT049,1999,Medium,Tier 1,Supermarket Type1,2286.61
FDI57,19.85,Low Fat,0.0541352,Seafood,198.777,OUT045,2002,,Tier 2,Supermarket Type1,4754.35
DRC12,17.85,Low Fat,0.037981,Soft Drinks,192.219,OUT018,2009,Medium,Tier 3,Supermarket Type2,1885.65
NCM42,,Low Fat,0.0281843,Household,109.691,OUT027,1985,Medium,Tier 3,Supermarket Type3,1338.36
FDA46,13.6,Low Fat,0.196898,Snack Foods,193.714,OUT010,1998,,Tier 3,Grocery Store,1416.07
FDA31,7.1,Low Fat,0.10992,Fruits and Vegetables,175.008,OUT013,1987,High,Tier 3,Supermarket Type1,2337.53
NCJ31,19.2,Low Fat,0.182619,Others,239.92,OUT035,2004,Small,Tier 2,Supermarket Type1,3522.17
FDG52,13.65,LF,0.0656308,Frozen Foods,47.7402,OUT046,1997,Small,Tier 1,Supermarket Type1,619.016
NCL19,,Low Fat,0.0274471,Others,142.347,OUT019,1985,Small,Tier 1,Grocery Store,549.579
FDS10,19.2,Low Fat,0.0351789,Snack Foods,180.732,OUT035,2004,Small,Tier 2,Supermarket Type1,2488.96
FDX22,6.785,Regular,0.0384551,Snack Foods,209.493,OUT010,1998,,Tier 3,Grocery Store,2130.01
NCF19,13,Low Fat,0.0351021,Household,47.6034,OUT035,2004,Small,Tier 2,Supermarket Type1,906.484
NCE06,5.825,Low Fat,0.0914852,Household,161.389,OUT046,1997,Small,Tier 1,Supermarket Type1,1837.37
DRC27,13.8,Low Fat,0.0581025,Dairy,244.68,OUT046,1997,Small,Tier 1,Supermarket Type1,3107.95
FDE21,12.8,LF,0.0229403,Fruits and Vegetables,116.549,OUT035,2004,Small,Tier 2,Supermarket Type1,1605.14
NCR42,,Low Fat,0.0673768,Household,32.09,OUT019,1985,Small,Tier 1,Grocery Store,-729.641
FDX51,9.5,Regular,0.0221486,Meat,194.945,OUT018,2009,Medium,Tier 3,Supermarket Type2,2368.2
NCR06,12.5,Low Fat,0.00679271,Household,42.4112,OUT018,2009,Medium,Tier 3,Supermarket Type2,292.109
FDU31,,Regular,0.02487,Fruits and Vegetables,217.751,OUT027,1985,Medium,Tier 3,Supermarket Type3,2769.23
FDU59,5.78,Low Fat,0.0969314,Breads,164.255,OUT017,2007,,Tier 2,Supermarket Type1,1969.53
FDR03,,Regular,0.00869363,Meat,205.098,OUT027,1985,Medium,Tier 3,Supermarket Type3,3791.89
FDS49,,Low Fat,0.0789613,Canned,80.3644,OUT027,1985,Medium,Tier 3,Supermarket Type3,1343.23
FDD48,10.395,Low Fat,0.0504795,Baking Goods,114.018,OUT010,1998,,Tier 3,Grocery Store,141.377
NCF18,18.35,Low Fat,0.0894859,Household,192.15,OUT017,2007,,Tier 2,Supermarket Type1,3687.17
NCD43,,Low Fat,0.0159424,Household,103.396,OUT027,1985,Medium,Tier 3,Supermarket Type3,1080.95
NCD54,21.1,Low Fat,0.0291271,Household,143.379,OUT018,2009,Medium,Tier 3,Supermarket Type2,1727.01
FDY19,19.75,LF,0.0692364,Fruits and Vegetables,116.647,OUT010,1998,,Tier 3,Grocery Store,528.975
NCY54,8.43,Low Fat,0.1787,Household,173.942,OUT017,2007,,Tier 2,Supermarket Type1,2784.69
NCL19,15.35,Low Fat,0.0157401,Others,144.847,OUT018,2009,Medium,Tier 3,Supermarket Type2,1908.32
FDP23,6.71,Low Fat,0.0595651,Breads,217.217,OUT010,1998,,Tier 3,Grocery Store,2160.31
FDC26,10.195,Low Fat,0.126278,Canned,112.189,OUT013,1987,High,Tier 3,Supermarket Type1,1633.98
FDR14,11.65,Low Fat,0.291322,Dairy,55.8298,OUT010,1998,,Tier 3,Grocery Store,-1376.75
NCS41,12.85,Low Fat,0.0534339,Health and Hygiene,183.261,OUT035,2004,Small,Tier 2,Supermarket Type1,2459.14
FDF41,12.15,Low Fat,0.131155,Frozen Foods,248.146,OUT035,2004,Small,Tier 2,Supermarket Type1,3369.29
FDU34,18.25,Low Fat,0.0751949,Snack Foods,124.905,OUT046,1997,Small,Tier 1,Supermarket Type1,1919.53
DRH11,5.98,Low Fat,0.075558,Hard Drinks,57.0614,OUT046,1997,Small,Tier 1,Supermarket Type1,345.123
FDM03,12.65,Low Fat,0.122928,Meat,106.694,OUT013,1987,High,Tier 3,Supermarket Type1,1592.5
FDS31,13.1,Regular,0.0444423,Fruits and Vegetables,181.032,OUT017,2007,,Tier 2,Supermarket Type1,3357.72
FDJ20,20.7,Regular,0.100742,Fruits and Vegetables,122.339,OUT017,2007,,Tier 2,Supermarket Type1,1826.65
FDV44,,Regular,0.0396515,Fruits and Vegetables,188.719,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.35
FDG02,7.855,Low Fat,0.0112787,Canned,188.819,OUT049,1999,Medium,Tier 1,Supermarket Type1,1831.56
FDA09,13.35,Regular,0,Snack Foods,179.666,OUT013,1987,High,Tier 3,Supermarket Type1,2120.15
FDT04,17.25,LF,0.106953,Frozen Foods,38.3822,OUT013,1987,High,Tier 3,Supermarket Type1,997.185
FDL58,,Regular,0.129825,Snack Foods,263.257,OUT019,1985,Small,Tier 1,Grocery Store,2995.53
FDE52,10.395,Regular,0.0299474,Dairy,90.1514,OUT045,2002,,Tier 2,Supermarket Type1,1576.11
FDW12,8.315,Regular,0.0355655,Baking Goods,144.844,OUT035,2004,Small,Tier 2,Supermarket Type1,2058.53
FDL51,20.7,Regular,0.04776,Dairy,214.988,OUT017,2007,,Tier 2,Supermarket Type1,2283.07
NCY42,,Low Fat,0.0150891,Household,141.347,OUT027,1985,Medium,Tier 3,Supermarket Type3,2453.08
FDR07,21.35,Low Fat,0.0781837,Fruits and Vegetables,96.8094,OUT017,2007,,Tier 2,Supermarket Type1,1488.18
FDN40,5.88,Low Fat,0.0866321,Frozen Foods,152.7,OUT045,2002,,Tier 2,Supermarket Type1,2111.39
FDB35,,Regular,0.0643061,Starchy Foods,90.3804,OUT027,1985,Medium,Tier 3,Supermarket Type3,1370.58
FDA22,7.435,low fat,0.0849301,Starchy Foods,165.816,OUT017,2007,,Tier 2,Supermarket Type1,3768.15
NCL06,14.65,Low Fat,0.0720666,Household,262.559,OUT046,1997,Small,Tier 1,Supermarket Type1,3568.51
FDI35,14,Low Fat,0.0412568,Starchy Foods,181.263,OUT013,1987,High,Tier 3,Supermarket Type1,4042.8
NCW42,18.2,Low Fat,0.0585876,Household,221.646,OUT045,2002,,Tier 2,Supermarket Type1,3640.36
